fid,order_id,latitude,longitude,basket_value,delivery duration,profit,revenue,client_id
36,25844697,40.2207803,28.9239782,564.3959,8.233333333,134.2219,392.7125,client_19543429
37,89738710,40.216208031,28.827347389,346.9438,10.416666667,4.2085,213.8413,client_91537044
38,52393055,40.200186516,28.9773269,520.0553,33.033333333,86.5043,372.6056,client_60346621
39,71039454,40.192257502,29.05749511,94.8515,5.75,62.45869999999999,138.9387,client_32249188
40,81283447,40.225207498,28.887322024,782.16,18.05,77.4896,429.0349,client_89544742
41,65745839,40.183423277,29.094019956,924.4851,79.366666667,56.8337,511.4536,client_78915697
42,37641593,40.232306751,28.834859684,130.1917,11.216666667,73.4518,150.4409,client_25528651
43,21600091,40.20607179,29.00928475,704.4239,30.533333333,-117.2328,365.7974,client_10277663
44,27339511,40.196931549,28.958433142,321.1185,19.733333333,-8.6792,182.7934,client_59360374
45,58543467,40.217128088,28.953516629,535.9505,7.25,172.0193,503.405,client_83119047
46,73004523,40.177938315,29.074705169,304.4851,9.583333333,147.0818,326.7308,client_47594549
47,19583425,40.192675667,28.944223789,545.2871,6.633333333,130.5824,506.6083,client_93334136
48,15232427,40.189962701,29.062279165,777.8083,25.766666667,1.5541,412.3363,client_55119185
49,49560588,40.217889039,28.907726882,605.7327,7.1,209.878,571.1071,client_67094916
50,29288067,40.270245774,28.950479329,122.8416,34.466666667,79.4444,144.4544,client_74563328
51,27491966,40.179827512,29.057728797,185.4356,9.183333333,98.0785,230.0485,client_17725910
52,66196567,40.222877,28.941239,384.0792,11.283333333,-63.181799999999996,230.2282,client_33482919
53,95044548,40.205921995,28.967855014,609.8515,20.183333333,219.2343,527.5292,client_93098963
54,87810818,40.198877925,28.947084993,780.5293,11.6,18.3895,449.0226,client_48912886
55,96792693,40.192028,28.9379164,913.7822,21.866666667,-92.7484,511.6516,client_40733224
56,18261112,40.212445071,28.961746618,318.1386,32.5,152.6082,370.9182,client_11177198
57,65305202,40.26751743,28.944076896,437.5884,24.35,33.609700000000004,182.9195,client_12135486
58,64245969,40.189911733,28.985643424,574.2277,26.25,-102.052,316.848,client_93637983
59,29787108,40.214272372,28.965793401,546.358,7.833333333,233.1377,495.6286,client_71049965
60,82307604,40.259099418,28.957061805,962.6699,23.7,-124.8243,546.9056,client_26057251
61,16022785,40.220532496,28.83789897,436.6479,16.133333333,172.0393,475.7828,client_87141299
62,59758201,40.217613464,28.896423094,675.0,8.616666667,256.3731,661.1368,client_71879667
63,82070905,40.223004179,28.97560861,189.655,3.133333333,80.9432,172.9766,client_71346636
64,52800491,40.259338179,28.938774812,663.3267,34.7,170.1228,562.3348,client_94485490
65,50310786,40.224168951,28.910677355,1001.0923,8.35,385.0462,950.9445,client_66120892
66,41839034,40.189306331,29.056916757,263.0396,11.116666667,108.9341,250.5336,client_52221209
67,98674051,40.254483304,28.963789456,823.2203,22.483333333,227.1229,719.4212,client_76038758
68,13918259,40.228485848,28.845258281,758.9804,12.916666667,63.198499999999996,446.6294,client_52063349
69,25991759,40.218293183,28.974222243,609.8317,6.266666667,204.1271,555.7903,client_79061040
70,37299326,40.184142113,28.941472135,697.1781,7.266666667,144.5561,488.1475,client_54415681
71,20574065,40.265190896,28.930755034,271.0198,20.7,113.9614,276.0097,client_68446911
72,47998391,40.263132407,29.013837129,533.5899,28.983333333,105.7963,429.5548,client_52885166
73,52936839,40.226305675,28.842347413,890.7672,9.066666667,-10.4877,508.0122,client_71465507
74,98732424,40.257772263,28.958478346,936.6139,17.916666667,-250.5591,425.4824,client_94558948
75,15747913,40.189953984,29.054736499,457.7029,10.216666667,53.3342,285.1902,client_22851313
76,35911162,40.229794636,28.983195908,943.0808,17.4,110.5522,479.9444,client_60204259
77,22710968,40.222996755,28.842285722,123.32480000000001,3.4,45.2106,129.7686,client_86471344
78,17411991,40.199356037,29.034486115,864.475,19.433333333,59.8955,485.7263,client_64918017
79,56424892,40.212663213,28.981619775,504.0923,27.95,207.7414,512.0014,client_71304729
80,65439307,40.200463852,28.946405388,919.9699,13.766666667,-65.2707,516.4368,client_46522347
81,80121035,40.232388985,28.969873447,285.2277,4.35,35.941,235.971,client_12858316
82,72711903,40.219192263,29.00685067,581.5636,16.666666667,-77.6341,289.1909,client_32112948
83,38820998,40.198622094,28.97883229,142.4554,10.033333333,87.3166,175.2358,client_60989773
84,24943100,40.216191707,28.949975973,349.4257,13.833333333,147.426,368.537,client_13863365
85,69523395,40.223006483,28.916709647,250.55259999999998,5.766666667,101.8761,292.8362,client_75683136
86,99978941,40.228163063,28.986364268,403.9242,10.4,164.5759,401.8141,client_78756231
87,10388247,40.252141736,28.958998695,1249.804,19.983333333,513.127,1231.1971,client_99031638
88,71146541,40.184205891,29.056790589,959.9473,64.833333333,-109.5728,474.9863,client_83397601
89,20737308,40.206823833,28.954986781,769.2599,18.516666667,248.9476,609.1826,client_46778509
90,66359294,40.265841996,28.945507854,550.8326,20.4,21.3362,308.3887,client_80499328
91,17287574,40.205586811,28.805316836,247.3702,30.583333333,110.3263,255.3675,client_23175794
92,77151367,40.221524764,28.910292797,339.604,8.666666667,104.7508,298.8687,client_29542366
93,57316306,40.195150991,29.067940973,365.4059,20.883333333,159.5033,338.1893,client_85657527
94,64256215,40.227463477,28.847946525,606.0878,15.616666667,225.5581,610.5596,client_25073892
95,40231795,40.219384047,28.949536197,231.1485,12.45,118.7233,235.1701,client_92988557
96,34811468,40.251348998,29.012966752,203.8614,24.533333333,73.4331,223.593,client_39076122
97,86467130,40.258087743,28.940485083,609.5506,11.483333333,228.7685,548.4547,client_52208026
98,19187545,40.212388743,28.964644074,111.6931,5.666666667,71.9172,162.9272,client_93428181
99,27665493,40.22291458,28.911277838,250.759,6.15,153.4331,291.9931,client_21716269
100,77253229,40.249569782,28.997102492,312.6337,50.2,77.3163,306.1963,client_39858797
101,26981313,40.230725592,28.84779498,303.0533,12.066666667,53.4938,235.5663,client_67770214
102,10980862,40.199018004,28.943046592,546.0891,19.266666667,244.3507,523.1487,client_39554601
103,92239015,40.186571069,29.060043879,292.6604,27.566666667,181.3978,342.7278,client_46686555
104,70962883,40.226558585,28.829641119,160.3069,9.55,83.136,144.3319,client_90930301
105,93447977,40.182421326,29.083274156,380.2574,43.383333333,100.4371,382.1871,client_16053022
106,85344270,40.224775646,28.960729055,244.39600000000002,15.216666667,163.7423,290.3423,client_67572142
107,83515282,40.18913722,29.104476348,449.8283,44.6,181.0731,419.8404,client_70802680
108,21964256,40.202203131,28.97800047,383.5446,21.6,213.4441,431.3241,client_43695871
109,55455614,40.219735291,28.842596188,312.6722,15.333333333,138.5558,351.7396,client_93020673
110,95924968,40.186663144,29.061811036,444.0583,22.45,118.8435,314.349,client_95194884
111,28430231,40.2309905,28.9738323,669.5178,5.716666667,196.0905,590.276,client_66772549
112,17831017,40.189707,29.065449,225.7921,28.5,78.4949,249.4049,client_14068585
113,79005120,40.254863536,28.978818879,1049.6849,17.516666667,-104.7405,500.2495,client_40751229
114,41409846,40.264525719,28.938019462,162.0494,11.466666667,88.4473,174.8594,client_11099428
115,91033265,40.258749658,29.005688578,906.9604,14.016666667,-160.8802,501.284,client_74704758
116,82161787,40.199224666,29.027095959,261.9901,17.616666667,38.9473,228.7084,client_10272421
117,51669789,40.227950603,28.847426176,509.5244,23.0,148.0399,521.0076,client_12636192
118,32913656,40.214949821,28.97632543,306.9604,22.483333333,109.9509,338.3909,client_54289854
119,58585910,40.251875359,28.9599948,144.505,41.216666667,95.5723,177.5723,client_63130485
120,10130897,40.211250911,28.942709304,118.703,18.516666667,54.4611,148.5051,client_79161250
121,12269080,40.212167016,28.807083741,242.7527,19.283333333,69.2868,197.4583,client_97224062
122,11278034,40.216625491,28.982399292,358.4697,14.833333333,143.0271,396.159,client_38300567
123,10314077,40.26662254,28.947383389,323.7433,34.9,90.2831,271.3153,client_30026813
124,29022987,40.231125923,28.845236488,363.2277,17.633333333,-19.1483,218.7267,client_29508019
125,67450320,40.21778653,28.909568265,548.9802,7.2,214.4157,528.3348,client_55945391
126,96497126,40.2239703,28.837076537,149.6705,7.25,82.5396,162.3022,client_12279620
127,26235029,40.223100689,28.997297287,256.0198,48.433333333,3.9618,190.7218,client_74105237
128,33679267,40.1810495,28.9409763,427.4141,26.85,85.3691,259.8957,client_14189142
129,81043226,40.200188197,29.023401107,370.1583,8.366666667,23.2597,198.9735,client_45376399
130,88864641,40.214246257,28.974998742,327.7822,19.2,165.9769,323.4899,client_76511063
131,87392009,40.216788575,28.91084332,112.305,7.283333333,75.8373,152.9073,client_25688381
132,33588506,40.188341161,29.14368393,382.3239,73.75,158.274,390.414,client_13116359
133,12317254,40.254988147,29.017068855,719.8119,22.766666667,233.8149,704.3555,client_37487294
134,54943565,40.191201544,29.061816484,501.38570000000004,36.65,117.0713,288.7148,client_69118687
135,29289295,40.215682563,28.956266195,125.6832,22.416666667,97.2994,167.6294,client_62406874
136,86075925,40.233530927,28.839361109,604.9287,18.833333333,254.4924,620.2924,client_60513005
137,44230411,40.188406495,28.938704096,621.7624,8.816666667,185.0269,614.2169,client_28002763
138,31922207,40.185946101,29.083630219,455.3663,52.15,12.2756,262.2506,client_37330759
139,47541237,40.211582738,28.968190625,323.2673,12.6,125.3369,349.0469,client_85259171
140,35206566,40.258849699,28.994626477,314.1782,22.05,104.9187,285.9387,client_86718344
141,81415627,40.19824545,28.98287086,158.8325,21.05,101.397,191.2061,client_35005953
142,22106436,40.219436273,28.956383877,388.6931,5.8,159.7508,389.8183,client_53074027
143,57189046,40.216491592,28.953498155,289.7483,14.983333333,111.1822,264.5206,client_60068547
144,25294494,40.211344621,28.949842304,477.9802,18.6,100.1794,388.1767,client_53849180
145,13983869,40.229465713,28.970569409,248.0889,8.9,136.4202,278.559,client_52181041
146,80117705,40.250790903,28.961890116,889.9109,41.45,236.4893,757.0057,client_47713130
147,30138482,40.228273133,28.842049353,231.2874,11.966666667,77.2578,226.929,client_93803324
148,52520069,40.21864264,28.965644203,228.1683,24.733333333,1.2989000000000002,121.5402,client_96625708
149,42957022,40.220820757,28.846248351,242.5149,11.916666667,113.4977,275.1277,client_83190971
150,12840779,40.186425472,28.945219322,362.638,15.733333333,55.2831,214.0531,client_19665562
151,96448222,40.217334662,28.944130875,908.4723,9.85,229.3659,731.4424,client_32700706
152,65822313,40.251747927,28.959694393,227.2673,48.583333333,88.3745,246.3644,client_78834396
153,38463725,40.255091265,29.00193885,343.198,43.9,164.7109,358.8109,client_13293957
154,24927086,40.221442331,29.001143575,375.2546,22.716666667,145.5798,395.4438,client_86363301
155,38252090,40.22215094,28.838245645,979.0491,21.916666667,-4.6303,591.8597,client_94110770
156,58627882,40.202740116,29.013453908,2030.4056,10.416666667,447.7765,1769.1631,client_29057634
157,67990773,40.2488328,29.010686204,603.9505,30.233333333,-29.2244,299.7407,client_29253722
158,19927795,40.189136963,28.942755572,182.9406,10.466666667,111.5139,237.2539,client_34542157
159,25603742,40.216294968,28.993526436,916.4372,16.233333333,-59.2168,506.8105,client_32086027
160,54342598,40.236304664,28.837843649,151.2574,22.416666667,87.9983,165.7283,client_53981921
161,35287414,40.193704518,28.979734518,855.3992,12.466666667,49.0621,505.881,client_67701357
162,22844393,40.177812538,29.073773772,611.9686,58.0,185.1989,574.2289,client_60227395
163,50356188,40.221702684,28.972090557,136.8091,4.266666667,67.8553,170.7553,client_29017192
164,24579174,40.26140467,29.014475495,252.6974,42.05,113.053,280.403,client_30129206
165,60071692,40.205280049,28.805158921,1429.3802,18.333333333,394.9883,1384.3375,client_43933030
166,59962232,40.236694979,28.839313164,202.1646,7.066666667,87.1994,186.6354,client_38636655
167,43869419,40.218169016,28.899885491,525.7228,12.75,153.4211,503.3311,client_65713317
168,94761872,40.222974227,28.84832304,315.4994,12.216666667,6.3406,184.9757,client_41537652
169,78996260,40.227299138,28.845827579,226.8812,5.933333333,100.1958,222.0089,client_38945380
170,81294948,40.230586858,28.834503628,147.7891,14.85,38.9839,160.9816,client_56085254
171,14313711,40.17352264,29.081236012,546.0594,42.233333333,160.4468,451.9684,client_89908828
172,13750162,40.233545772,28.837557994,275.2178,25.9,36.3706,202.3694,client_36004031
173,90667450,40.221431067,28.945167884,373.4537,13.066666667,-23.0848,211.9452,client_62935896
174,98184599,40.222838806,28.941643462,111.6832,12.716666667,64.3466,150.1954,client_98026349
175,18701181,40.26336548,28.963993303,267.7512,62.65,45.3554,193.7054,client_40936042
176,70655533,40.226063258,28.851100132,493.8619,33.883333333,134.3578,444.6817,client_55397445
177,64279853,40.227813911,28.843057193,349.4158,22.133333333,164.9584,379.0584,client_81604680
178,55627188,40.227688738,28.986648247,895.7426,17.35,-10.9889,503.32,client_86825609
179,36199508,40.176366648,29.073424709,290.4752,42.466666667,113.0494,279.1246,client_88505645
180,82076667,40.193918879,28.995474726,921.723,30.3,16.8911,485.2259,client_84012823
181,96925504,40.204175898,28.979626894,1006.8681999999999,9.8,90.7966,514.7784,client_78542585
182,61301628,40.228499159,28.830177225,111.9081,18.133333333,62.1709,147.5209,client_86587696
183,90968287,40.198577022,29.013835117,233.4701,4.9,120.8309,265.2389,client_96809398
184,94976759,40.232762031,28.842761815,654.1084,27.583333333,211.7339,645.6017,client_48984772
185,33013273,40.240228193,29.008457623,127.7129,26.75,77.2267,145.4643,client_22729226
186,22144279,40.214731686,28.940676861,571.7307,27.266666667,227.7186,544.9665,client_77624665
187,86551141,40.193969331,29.062724747,223.6203,45.25,85.5383,200.3309,client_36975831
188,78495947,40.17663032,28.941816129,816.6005,9.133333333,262.2056,773.1523,client_92683862
189,30334650,40.256779759,29.019001052,679.1881,16.9,197.0597,626.8992,client_58699081
190,99634408,40.216706393,28.888150826,525.703,11.016666667,97.7427,316.8777,client_97651856
191,82123257,40.223519752,28.835386075,606.1527,12.983333333,36.371,348.011,client_77516421
192,12316770,40.188745349,28.937575892,348.3168,25.766666667,136.4727,355.7227,client_59515015
193,53642574,40.228587726,28.830080666,183.4157,32.483333333,98.8637,206.0177,client_29747909
194,71773553,40.236972166,28.905914091,209.2574,8.316666667,102.3533,246.6211,client_85734720
195,67712715,40.2085578,28.9876988,246.2483,9.766666667,18.0483,156.8583,client_21801072
196,76529400,40.19704227,28.945339546,498.8812,17.75,207.3317,495.8517,client_72355496
197,52931771,40.211528713,28.831560574,351.5709,11.7,160.1992,378.677,client_70134260
198,63845353,40.251663229,28.959246464,413.8018,25.166666667,89.9435,385.5082,client_57041952
199,73289915,40.189843861,29.071942158,514.9894,47.633333333,175.1562,508.555,client_94558024
200,11909397,40.223838943,28.988473463,293.6246,6.266666667,149.0754,318.0254,client_36416215
201,66250033,40.206060208,28.96761237,158.9604,18.35,78.8899,188.7399,client_93844797
202,82771463,40.199354125,28.969177086,221.7525,13.766666667,97.9361,220.9319,client_83220647
203,43327662,40.2179605,29.0104545,247.0693,29.883333333,97.2099,252.8406,client_99004674
204,83640062,40.222744855,29.012548327,370.3069,43.1,134.6553,341.8595,client_12162284
205,74721354,40.259256771,28.942811899,325.5888,13.816666667,109.1447,369.2016,client_29676963
206,45292774,40.207003327,29.018002418,551.4409,55.066666667,182.461,532.3277,client_68697298
207,88666286,40.223216911,28.835570812,500.873,12.133333333,181.5466,499.2366,client_26905719
208,47267614,40.261125025,28.965157047,121.07919999999999,50.016666667,62.3134,149.7027,client_36940361
209,21144907,40.190464183,29.06358473,261.1881,32.65,92.0422,275.9822,client_35418698
210,65502490,40.22210486,28.974548467,220.3168,4.133333333,104.5259,244.8166,client_67254530
211,57517227,40.247143084,28.98671262,1034.4059,17.466666667,345.6348,975.1955,client_71893224
212,69183401,40.214019328,28.971880818,420.2574,9.55,136.3582,456.6582,client_94483911
213,22045935,40.188430315,29.143195376,692.7061,51.6,-139.0979,344.2621,client_41113309
214,54062330,40.222392603,28.832871169,138.877,15.016666667,54.7832,174.9642,client_99088941
215,58748195,40.223671556,28.99544891,231.6238,30.266666667,114.2932,240.0912,client_94082185
216,58203510,40.227442998,28.98393888,590.0297,6.45,155.0913,515.207,client_25096656
217,28896785,40.232331507,28.978484273,195.32,4.816666667,122.6612,219.7208,client_89921466
218,80579859,40.227288899,28.966523968,211.9406,12.333333333,133.8768,240.8868,client_32757196
219,73757788,40.20299542,28.985878117,386.5248,23.883333333,133.5235,211.7093,client_54818753
220,26203676,40.222273307,28.98343496,162.396,11.35,68.7923,198.3423,client_13382954
221,17437956,40.218501578,28.944959007,601.4356,18.0,124.6775,494.0972,client_60632994
222,48031299,40.179826488,29.070780426,388.1626,43.4,48.127,246.2972,client_88416900
223,71866281,40.221481818,28.850041724,533.2087,33.15,158.5664,508.23659999999995,client_81052419
224,23986549,40.217721246,29.011525065,103.6583,15.533333333,61.9212,125.2712,client_72811955
225,24400145,40.178139149,28.941382617,554.8964,16.4,145.9706,426.2072,client_38257932
226,58960431,40.230394458,28.908814079,1721.1358,9.35,268.4808,963.6632,client_50900801
227,81766246,40.198066381,29.006665908,205.7921,15.983333333,122.1316,256.5716,client_51539460
228,58348464,40.204539579,28.984856177,1162.7327,32.916666667,360.0163,1068.0863,client_34853011
229,38561318,40.220907798,28.916124254,355.0098,2.85,189.3385,375.6985,client_17142468
230,35005527,40.250136844,29.005137384,124.1534,40.05,84.8462,137.7662,client_58570262
231,87643783,40.225793962,28.845772259,769.6326,12.133333333,127.68870000000001,427.7294,client_14379302
232,26919072,40.254653462,29.013606794,267.4059,42.2,124.5518,268.7119,client_70663611
233,38921699,40.201417746,28.955437392,520.6337,15.5,158.6721,518.6121,client_61265275
234,64280226,40.2218018,28.8469664,597.082,9.266666667,172.8462,497.7626,client_76005617
235,15078615,40.238538262,29.013059624,1081.0311,50.7,313.5439,960.0561,client_22329336
236,72430945,40.22709717,28.840851076,197.4087,5.45,53.3731,199.4624,client_49809817
237,82432076,40.215808527,28.940560855,359.8381,12.233333333,185.3922,373.0722,client_33872915
238,81646648,40.178790635,29.083250119,433.1033,22.55,98.6219,369.4776,client_32360779
239,20282734,40.220002819,28.960833326,124.8424,20.183333333,96.8953,176.7985,client_33078912
240,27149777,40.223875513,28.903434282,448.1613,9.466666667,212.7304,458.3954,client_65367126
241,86735504,40.190215235,29.122171551,1335.4059,73.25,453.8116,1254.0286,client_24753772
242,27281851,40.19218912,28.945918567,425.9054,21.933333333,198.6342,434.7922,client_45493612
243,61817389,40.230370054,28.922483772,227.7474,8.5,119.8516,248.4796,client_67271735
244,78566789,40.233071996,28.842706494,360.3564,7.266666667,120.528,287.578,client_81166126
245,39490875,40.227861523,28.900186904,280.1564,9.616666667,122.7982,298.2102,client_94148902
246,35062889,40.226830438,28.833303005,733.5364,14.916666667,142.0551,394.2901,client_50877809
247,86045901,40.258168084,28.935729191,644.271,17.266666667,95.7875,329.5862,client_59211542
248,45691412,40.204398676,29.026386179,309.495,9.65,120.5935,322.3825,client_47616245
249,29037227,40.22515758,28.963049501,638.5302,11.566666667,133.229,533.699,client_82402360
250,45005345,40.217113719,28.974384516,442.4158,25.966666667,105.8294,402.2894,client_52616917
251,46599249,40.228352997,28.829874806,165.1545,28.4,100.8883,183.4983,client_18082327
252,97940360,40.185059609,29.092727937,285.6733,18.9,117.464,272.5822,client_73504991
253,60945227,40.195558702,28.940335549,446.0191,5.6,155.3309,400.8906,client_86470907
254,42335781,40.219236074,28.939172812,724.0891,23.133333333,138.5999,498.32,client_21642431
255,80362944,40.250529383,29.006587788,899.0396,45.95,241.9101,497.4545,client_26123585
256,62462137,40.212403593,28.96287851,471.2942,7.666666667,205.5293,485.837,client_24935002
257,19416144,40.225622452,28.839023486,243.9307,15.483333333,114.6335,285.5435,client_86492465
258,79559359,40.220595473,28.920119405,276.3267,28.95,86.9802,270.3803,client_71806465
259,33561031,40.263228604,28.960764259,842.2059,11.933333333,-58.876,476.2447,client_58389793
260,97091413,40.222094108,28.845359534,522.7919999999999,24.916666667,85.6031,389.8296,client_54252502
261,75479864,40.226863972,28.849079423,118.1907,39.066666667,58.8984,143.3175,client_34599204
262,25069109,40.220295435,28.917408027,328.594,7.283333333,164.3399,324.5508,client_17709318
263,58601422,40.196725481,28.983216025,310.1995,14.516666667,176.9603,348.1753,client_91094556
264,89425110,40.225503419,28.839438558,421.1493,17.283333333,194.2616,390.4642,client_66531077
265,92555155,40.225132493,28.964792937,177.0,11.316666667,139.2762,229.9462,client_98726929
266,73179888,40.202243846,28.803659901,888.5093,28.383333333,330.009,888.9876,client_87874147
267,63651833,40.193140057,29.056599922,261.5256,35.183333333,96.503,299.593,client_55492149
268,27961712,40.215085258,28.947909772,185.6677,13.9,99.1135,188.6535,client_69452907
269,59049962,40.239588108,29.009769559,236.1834,43.75,115.3902,273.1914,client_42717524
270,91019756,40.230703067,28.839053996,220.7478,28.883333333,-45.7549,129.3256,client_73685301
271,51045048,40.255736833,28.96802634,580.8718,43.366666667,52.6155,467.4632,client_13522407
272,20097248,40.206558302,28.804408908,224.4257,25.066666667,125.0186,247.0386,client_40388574
273,35359547,40.236413696,28.838311695,240.8818,20.133333333,51.0809,234.6887,client_69128401
274,50524177,40.18984654,29.064268049,140.5248,12.983333333,87.6776,179.1376,client_68337351
275,72247559,40.195775874,28.969700038,2011.1089,13.7,572.7094,1986.4707,client_22206898
276,98198196,40.237050485,28.906213827,530.8828,13.433333333,185.3653,463.6456,client_64721588
277,65570961,40.195072368,29.057384804,220.8713,28.516666667,95.0008,200.8208,client_45757931
278,41216949,40.226921311,28.828968555,305.2667,16.766666667,97.3048,350.1856,client_96567512
279,15471249,40.223286798,29.001674652,202.4158,45.366666667,80.8923,162.6268,client_47609911
280,66638092,40.25835819,28.93812608,811.7413,24.716666667,285.2475,784.5118,client_95176011
281,62707721,40.236301848,28.994184248,922.891,27.233333333,179.6436,710.4283,client_35990033
282,16858786,40.219465204,28.963533152,328.1168,10.15,168.3943,373.1025,client_30777348
283,15054074,40.226239631,28.837578781,127.4153,16.3,59.3196,149.4118,client_24934410
284,37102972,40.227021891,28.832477477,147.505,18.633333333,95.4756,176.6416,client_51111137
285,35955908,40.228398817,28.835446425,368.2509,8.966666667,88.6529,242.4767,client_62387401
286,92548688,40.228348902,28.828733191,257.3762,22.466666667,113.3288,247.8248,client_41219751
287,86882844,40.223368204,28.917466365,582.0823,7.55,225.2815,589.5688,client_92037963
288,97302823,40.184652091,29.091695957,226.7228,53.7,80.9455,201.5695,client_78249478
289,28622420,40.26636108,28.93578954,426.4784,15.666666667,193.2618,423.8717,client_61895524
290,50530375,40.230690123,28.868018923,236.7426,8.95,46.9559,133.0684,client_55829566
291,30062677,40.224374254,28.896138445,933.6911,16.766666667,170.7106,556.1811,client_73520742
292,39115506,40.228784355,28.830316427,267.1546,8.966666667,75.9193,273.7822,client_18202955
293,76368228,40.211756332,28.954372555,828.1881,14.433333333,139.3392,665.1685,client_80388136
294,90087469,40.230512116,28.972130455,808.4428,8.116666667,32.3209,503.7528,client_57370021
295,15675493,40.201195471,28.958109878,334.5658,9.166666667,128.6499,257.1962,client_79103198
296,96689839,40.19117414,29.077304229,670.2079,20.683333333,231.6825,654.7749,client_74294643
297,49892449,40.252224643,28.968019299,542.3267,36.1,197.0814,515.922,client_91095838
298,31827020,40.195450529,28.943015564,241.6436,18.1,89.1477,263.8777,client_89380424
299,29197943,40.199209044,29.009110071,411.3976,5.366666667,119.168,334.908,client_42730527
300,16457111,40.2205284,28.837968372,133.6535,11.883333333,84.2663,159.2663,client_66264289
301,80250054,40.175301805,29.118536822,389.0099,85.233333333,182.7633,348.7332,client_74400543
302,77091248,40.17913255,29.060996734,707.2186,24.183333333,90.3528,504.3685,client_87526109
303,37415800,40.195187101,28.944533207,317.3217,17.066666667,92.5278,182.1564,client_36838753
304,15821151,40.20016673,29.006667186,113.7624,11.666666667,55.4219,150.5419,client_92970642
305,42673167,40.22121449,28.94614622,276.2673,9.1,161.2469,302.0469,client_46547348
306,45339562,40.218298559,28.824699484,696.9686,25.45,158.2011,407.5904,client_70522784
307,55266178,40.183708206,29.133549482,284.5775,49.75,117.963,297.52,client_26264767
308,64250993,40.219361775,28.984733485,574.3366,26.283333333,116.9057,563.2457,client_12127654
309,76531590,40.229914173,28.970642835,675.023,12.983333333,135.2758,448.091,client_24088791
310,92096118,40.224244467,29.011906609,210.9279,14.866666667,108.1803,239.5745,client_97670794
311,37825913,40.254536015,29.002979547,235.935,20.133333333,104.6887,238.8066,client_77281711
312,68948199,40.19752398,28.943722844,761.9548,8.7,55.1225,489.2837,client_22671010
313,45200334,40.220549392,28.850603588,450.4626,16.583333333,174.5199,419.4549,client_55524926
